utc,sensor,call_type,x_local,y_local,z_local,x_utm,y_utm,z_utm,lat,lon
2021-11-04 08:00:48,hf,pair,45753.14564315216,7421.135958395517,-40.0,59854.416972406114,4992532.645899372,-40.0,44.94974365810283,-128.57962660888285
2021-11-04 08:00:27,lf,pair,45264.511550364565,6863.668954200256,-40.0,60343.05106519371,4991975.178895176,-40.0,44.94505108348406,-128.57297679040343
2021-11-04 08:00:33,north,hf,77632.24529993329,20712.144477908616,-40.0,27975.317315624983,5005823.654418885,-40.0,45.04831766078742,-128.99405666145003
2021-11-04 08:01:02,north,hf,74068.95276308684,25777.221334853268,-40.0,31538.609852471433,5010888.7312758295,-40.0,45.096028069463394,-128.953776757216
2021-11-04 08:00:26,north,hf,68842.0684195081,25185.76373218347,-40.0,36765.494196050175,5010297.27367316,-40.0,45.09416982368829,-128.88715438591228
2021-11-04 08:01:08,north,lf,59040.27826770831,27462.165111029837,-40.0,46567.28434784996,5012573.675052006,-40.0,45.120900683941784,-128.76528272986636
2021-11-04 08:00:44,north,lf,60368.742107577484,31356.71043619876,-40.0,45238.82050798079,5016468.220377175,-40.0,45.154927024883094,-128.78562586269936
2021-11-04 08:01:01,north,lf,52390.91090304175,24883.994008355243,-40.0,53216.65171251652,5009995.503949331,-40.0,45.10203658759209,-128.67885892258383
2021-11-04 08:00:15,south,hf,60526.37711512244,19652.188723073104,-40.0,45081.18550043583,5004763.69866405,-40.0,45.05000122043194,-128.77700356446255
2021-11-04 08:00:24,south,lf,88162.23659953229,15117.385078723351,-40.0,17445.32601602598,5000228.8950197,-40.0,44.9911599316838,-129.12165753934917
2021-11-04 08:00:32,south,lf,91428.78292389686,16510.454377876988,-40.0,14178.779691661417,5001621.964318853,-40.0,45.00140324361015,-129.1641993437818
2021-11-04 08:00:50,south,lf,64349.443610012,17062.05371042432,-40.0,41258.11900554627,5002173.563651401,-40.0,45.024343927695156,-128.82294133283062
2021-11-04 08:00:45,south,lf,87911.13270128451,17068.7848601857,-40.0,17696.42991427376,5002180.294801162,-40.0,45.008796407089214,-129.1203565581366
2021-11-04 08:00:49,hf,pair,46076.29522810447,7730.272461799218,-40.0,59531.2673874538,4992841.782402775,-40.0,44.952313383502165,-128.5839730599253
2021-11-04 08:01:10,lf,pair,45685.960452262465,7273.250963915655,-40.0,59921.60216329581,4992384.760904892,-40.0,44.94846025390044,-128.57865020285718
2021-11-04 08:01:19,north,hf,73850.06736758747,25528.295305556752,-40.0,31757.4952479708,5010639.805246533,-40.0,45.09394411505988,-128.95077762342717
2021-11-04 08:01:45,north,hf,71875.35722123676,24675.00753434033,-40.0,33732.205394321514,5009786.517475316,-40.0,45.08760667247583,-128.92502344914558
2021-11-04 08:01:40,north,hf,63843.76474306637,26427.050959216605,-40.0,41763.7978724919,5011538.560900193,-40.0,45.108537093239796,-128.82509673510006
2021-11-04 08:01:49,south,hf,88749.67979298874,13350.45837615478,-40.0,16857.882822569532,4998461.9683171315,-40.0,44.974946248168884,-129.1273758637178
2021-11-04 08:01:39,south,hf,76917.29331385625,17403.913026786966,-40.0,28690.26930170202,5002515.422967764,-40.0,45.01917517055601,-128.9819297670667
2021-11-04 08:01:31,south,hf,51488.97779096068,17538.549354844665,-40.0,54118.584824597594,5002650.059295821,-40.0,45.03680616089017,-128.66093094642548
2021-11-04 08:00:58,south,hf,61387.64489341279,20270.53871817599,-40.0,44219.91772214548,5005382.048659152,-40.0,45.05498626043747,-128.7884454646085
2021-11-04 08:02:16,north,hf,47274.16877013863,12014.30038867539,-40.0,58333.39384541964,4997125.810329651,-40.0,44.98995133958412,-128.6028339318785
2021-11-04 08:02:31,north,hf,59742.50792330202,27423.570431735727,-40.0,45865.05469225625,5012535.080372712,-40.0,45.12010472719196,-128.77413101545812
2021-11-04 08:02:23,north,hf,70567.59726779553,26155.728699543808,-40.0,35039.96534776274,5011267.23864052,-40.0,45.101724260157916,-128.90986616591022
2021-11-04 08:01:55,north,lf,47106.39250972929,12328.842226712526,-40.0,58501.170105828984,4997440.352167689,-40.0,44.99287351556959,-128.6009910946248
2021-11-04 08:02:08,north,lf,73222.55488110286,28156.999748133712,-40.0,32385.007734455416,5013268.50968911,-40.0,45.117894150767555,-128.94529709683857
2021-11-04 08:01:43,south,hf,98866.65562322896,21329.985382401344,-40.0,6740.906992329314,5006441.495323378,-40.0,45.039406773854004,-129.26273159173414
2021-11-04 08:02:53,hf,pair,46156.12160053848,7779.334919526241,-40.0,59451.441015019795,4992890.8448605025,-40.0,44.95270353722303,-128.58502300582043
2021-11-04 08:02:33,lf,pair,45562.29416938764,7139.49798217735,-40.0,60045.26844617063,4992251.007923153,-40.0,44.94733836214251,-128.57697356810192
2021-11-04 08:02:55,north,hf,71567.2434985385,26648.194379218574,-40.0,34040.31911701977,5011759.704320195,-40.0,45.105476598402156,-128.92296176692645
2021-11-04 08:03:03,north,hf,59994.70794431205,27115.928728591687,-40.0,45612.85467124622,5012227.438669568,-40.0,45.11718761728187,-128.77704231703268
2021-11-04 08:03:20,north,hf,68920.32266786358,24930.71254592267,-40.0,36687.23994769469,5010042.222486899,-40.0,45.091834862817194,-128.8879081401692
2021-11-04 08:03:22,north,hf,56988.71448888365,27530.579842721432,-40.0,48618.848126674624,5012642.089783697,-40.0,45.12282506529061,-128.7393907110025
2021-11-04 08:03:07,north,hf,66349.93799626417,24951.629738405903,-40.0,39257.6246192941,5010063.139679383,-40.0,45.093698636247815,-128.8554335477694
