utc,sensor,call_type,x_local,y_local,z_local,x_utm,y_utm,z_utm,lat,lon
2021-11-04 12:00:34,south,hf,43429.48213455181,3916.835008371044,-40.0,62178.080481006466,4989028.344949347,-40.0,44.919779023526736,-128.54727546789948
2021-11-04 12:00:27,south,hf,57824.740815862715,23968.876012637345,-40.0,47782.82179969556,5009080.385953614,-40.0,45.09039116290092,-128.7467548724019
2021-11-04 12:01:23,hf,pair,52064.047949917396,13124.105057260242,-40.0,53543.514665640876,4998235.614998236,-40.0,44.99690072307661,-128.66428366831644
2021-11-04 12:02:45,south,hf,50988.973613830545,18209.92479416178,-40.0,54618.58900172773,5003321.434735138,-40.0,45.04313430248108,-128.65520819957314
2021-11-04 12:03:56,north,hf,76535.93122408791,27285.777013512732,-40.0,29071.631391470364,5012397.286954489,-40.0,45.10789780438817,-128.98637554223734
2021-11-04 12:03:31,south,lf,92333.18251810686,17182.375628774924,-40.0,13274.380097451416,5002293.885569751,-40.0,45.00679792052202,-129.1762565302142
2021-11-04 12:04:33,hf,pair,92210.8715194796,17305.222312848993,-40.0,13396.691096078677,5002416.732253825,-40.0,45.007981111838774,-129.17483207847195
2021-11-04 12:04:13,lf,pair,92256.06183727378,17316.263761060072,-40.0,13351.500778284491,5002427.773702037,-40.0,45.008048981790985,-129.1754128542302
2021-11-04 12:05:08,north,lf,73723.57860145574,26012.48255849622,-40.0,31883.984014102534,5011123.992499473,-40.0,45.098362741884934,-128.94963056223733
2021-11-04 12:04:30,south,hf,60313.20366646729,19973.277960345666,-40.0,45294.35894909098,5005084.787901322,-40.0,45.05301359551691,-128.77460060974397
2021-11-04 12:05:37,lf,pair,92214.03090534387,17479.904743697538,-40.0,13393.531710214404,5002591.414684674,-40.0,45.00954228575477,-129.17504056541623
2021-11-04 12:05:23,north,hf,79762.62947901001,18516.66686776541,-40.0,25844.933136548265,5003628.176808742,-40.0,45.027243013909384,-129.01889192720566
2021-11-04 12:05:08,north,lf,74402.48885263475,26251.857995151368,-40.0,31205.073762923523,5011363.367936128,-40.0,45.10005685924236,-128.95843632557109
2021-11-04 12:05:12,south,hf,60481.69268320077,22769.477694239908,-40.0,45125.869932357506,5007880.987635216,-40.0,45.077948368097786,-128.77926083692614
2021-11-04 12:05:57,hf,pair,92212.92964647172,17215.0030704388,-40.0,13394.632969086553,5002326.5130114155,-40.0,45.00717227623021,-129.17477095670753
2021-11-04 12:06:19,lf,pair,92048.14511328281,17651.380399991674,-40.0,13559.417502275464,5002762.890340968,-40.0,45.011190510743,-129.17311319404297
2021-11-04 12:06:26,south,hf,57884.60169062429,23055.42223101467,-40.0,47722.960924933985,5008166.932171991,-40.0,45.082171627163774,-128.74668861846968
2021-11-04 12:05:56,south,hf,59713.47973996737,20433.733115493756,-40.0,45894.0828755909,5005545.24305647,-40.0,45.05752172063622,-128.7674389143572
2021-11-04 12:07:29,south,hf,58089.16106340073,23251.70518184635,-40.0,47518.40155215754,5008363.215122823,-40.0,45.083799029350146,-128.74945159316107
2021-11-04 12:06:47,south,hf,57999.089023908644,23082.54322537439,-40.0,47608.47359164963,5008194.05316635,-40.0,45.08234145191075,-128.74816041661242
2021-11-04 12:07:10,south,lf,91990.05697438234,17702.33141046349,-40.0,13617.505641175929,5002813.84135144,-40.0,45.011686269726184,-129.1724294848558
2021-11-04 12:08:08,south,hf,54758.42996392452,17187.388225367922,-40.0,50849.13265163375,5002298.8981663445,-40.0,45.03159913077208,-128.7019216026019
2021-11-04 12:08:11,south,hf,57977.04430531347,23609.505147121898,-40.0,47630.5183102448,5008721.015088098,-40.0,45.08707523630256,-128.74835663760453
2021-11-04 12:07:51,south,hf,58064.86871088658,23269.19375692848,-40.0,47542.693904671694,5008380.703697905,-40.0,45.083971177324656,-128.7491602429409
2021-11-04 12:09:01,hf,pair,49804.84207059073,11481.786076643102,-40.0,55802.720544967546,4996593.29601762,-40.0,44.98360397331875,-128.63431343818704
2021-11-04 12:08:53,south,hf,57999.005247964626,23959.201214860797,-40.0,47608.55736759365,5009070.711155837,-40.0,45.090193244762325,-128.74894952855033
2021-11-04 12:08:42,south,lf,51419.64892673305,17469.165109387322,-40.0,54187.913688825225,5002580.675050364,-40.0,45.03622817831163,-128.65999357190506
2021-11-04 12:09:41,hf,pair,47404.383372299286,9556.720946514524,-40.0,58203.17924325899,4994668.230887491,-40.0,44.96785327533826,-128.60232657696363
2021-11-04 12:10:06,north,hf,41394.22613543138,34426.707759739475,-40.0,64213.33648012689,5019538.217700716,-40.0,45.194389019815205,-128.54806291546308
2021-11-04 12:09:14,south,hf,40716.80584646913,1376.0894987253675,-40.0,64890.756769089145,4986487.599439702,-40.0,44.89867474538513,-128.5108823091981
