utc,sensor,call_type,x_local,y_local,z_local,x_utm,y_utm,z_utm,lat,lon
2021-11-04 01:13:06,hf,pair,53656.73094023276,22000.54856874236,-40.0,51950.83167532551,5007112.058509719,-40.0,45.075408865110845,-128.69229427276707
2021-11-04 01:12:53,hf,pair,88205.6159955405,11590.685380108485,-40.0,17401.94662001777,4996702.195321085,-40.0,44.959564526832246,-129.11883405572524
2021-11-04 01:13:22,lf,pair,36352.32412872779,23797.68303907598,-40.0,69255.23848683048,5008909.192980052,-40.0,45.10224323559513,-128.4750165650348
2021-11-04 01:12:45,lf,pair,53583.6114264206,22013.509515394504,-40.0,52023.951189137675,5007125.019456371,-40.0,45.07557118177336,-128.6913814703237
2021-11-04 01:13:43,hf,pair,36359.41957920479,23718.468947520512,-40.0,69248.14303635349,5008829.978888497,-40.0,45.10152911054391,-128.4750382897233
2021-11-04 01:14:04,lf,pair,36335.19400355663,23893.398106163822,-40.0,69272.36861200165,5009004.90804714,-40.0,45.10311132487216,-128.4748820514381
2021-11-04 01:13:22,lf,pair,36351.65016529767,23794.439502995065,-40.0,69255.9124502606,5008905.949443972,-40.0,45.10221458150972,-128.47500525134896
2021-11-04 01:14:25,hf,pair,36362.14947385804,23763.44442247603,-40.0,69245.41314170024,5008874.954363452,-40.0,45.101930458240496,-128.47511146587544
2021-11-04 01:15:06,hf,pair,36405.048554237816,23727.370622100905,-40.0,69202.51406132046,5008838.8805630775,-40.0,45.10158111305973,-128.4756232475017
2021-11-04 01:14:45,lf,pair,36359.16035447537,23853.367818288367,-40.0,69248.4022610829,5008964.877759265,-40.0,45.10273804695777,-128.4751508982352
2021-11-04 01:15:06,hf,pair,36387.36506236039,23787.17720724498,-40.0,69220.19755319788,5008898.687148221,-40.0,45.102127776930516,-128.47545089200568
2021-11-04 01:15:47,hf,pair,36413.357173080665,23739.83287521662,-40.0,69194.2054424776,5008851.342816193,-40.0,45.10168772703634,-128.47573907750038
2021-11-04 01:15:27,lf,pair,36375.89198195935,23905.071992886562,-40.0,69231.67063359893,5009016.5819338625,-40.0,45.1031911684761,-128.47540701720655
2021-11-04 01:15:06,south,hf,82562.42817002014,27515.39493799382,-40.0,23045.134445538133,5012626.90487897,-40.0,45.105919728666095,-129.06277490060242
2021-11-04 01:16:30,hf,pair,36428.92912628131,23709.939331914255,-40.0,69178.63348927695,5008821.449272891,-40.0,45.10141038709025,-128.47591041426332
2021-11-04 01:16:02,hf,pair,53883.54408729698,22291.906308010057,-40.0,51724.018528261295,5007403.4162489865,-40.0,45.07787522065051,-128.6954216927772
2021-11-04 01:16:32,hf,pair,82676.29270442887,26785.2503419669,-40.0,22931.269911129406,5011896.760282943,-40.0,45.09930727532229,-129.06351968513002
2021-11-04 01:16:09,lf,pair,36399.04880745885,23844.081745525295,-40.0,69208.51380809942,5008955.591686501,-40.0,45.10263056783045,-128.47564760981388
2021-11-04 01:16:51,lf,pair,36449.03738709679,23865.39345537057,-40.0,69158.52522846148,5008976.903396347,-40.0,45.10279111510954,-128.47629840287448
2021-11-04 01:16:25,north,lf,53826.18596349813,22791.4794554302,-40.0,51781.37665206014,5007902.989396406,-40.0,45.08238632507335,-128.69514255908564
2021-11-04 01:17:12,hf,pair,36434.52544457786,23722.173182399332,-40.0,69173.03717098042,5008833.683123375,-40.0,45.10151660458793,-128.47599173143712
