utc,sensor,call_type,x_local,y_local,z_local,x_utm,y_utm,z_utm,lat,lon,wrms,deltax
2021-11-04 02:00:08,hf,pair,37000.55141575245,22344.41459218071,-30.0,68607.01119980583,5007455.924533157,-30.0,45.08882650826261,-128.48196825775324,0.12591319999793496,8.796304888899291
2021-11-04 02:00:51,hf,pair,37011.21654974513,22382.389927898403,-30.0,68596.34606581315,5007493.899868875,-30.0,45.08916029243203,-128.482135814933,0.12716727215186344,10.80959930924411
2021-11-04 02:00:49,hf,pair,56646.60373186344,28869.28568605743,-30.0,48960.95888369483,5013980.795627033,-30.0,45.135033447566684,-128.73626829532188,0.14254934561025495,24.026293091036205
2021-11-04 02:00:06,hf,pair,56632.63054813178,28757.09520005052,-30.0,48974.93206742649,5013868.605141027,-30.0,45.1340375165618,-128.7359904056848,0.14931958358623412,22.48053704832788
2021-11-04 02:00:34,hf,pair,82709.94027547924,12467.70533610117,-30.0,22897.622340079033,4997579.215277078,-30.0,44.971120665132275,-129.05037377687964,0.16047752425958584,27.021154004728356
2021-11-04 02:00:55,hf,pair,83301.97204845557,16011.616402651569,-30.0,22305.5905671027,5001123.126343627,-30.0,45.00244696976135,-129.06119445107197,1.0375698541249825,119.41910194154244
2021-11-04 02:00:04,hf,pair,86079.29320699032,13004.823702943662,-30.0,19528.269408567954,4998116.33364392,-30.0,44.97366110020131,-129.09337236652385,0.16998041202152323,57.33170981480673
2021-11-04 02:00:14,hf,pair,82700.42312068278,12652.953107673342,-30.0,22907.13949487549,4997764.46304865,-30.0,44.972785337689814,-129.05042876589664,0.1438938637935487,30.45691968107726
2021-11-04 02:00:46,hf,pair,85993.13964174007,13530.041350467389,-30.0,19614.422973818204,4998641.551291443,-30.0,44.978420521969916,-129.09278564518925,0.43335393788839066,189.2387441518137
2021-11-04 02:00:30,lf,pair,36965.50739162014,22411.776260328268,-30.0,68642.05522393814,5007523.286201305,-30.0,45.08945144808788,-128.48158288488142,0.11773638587156007,8.125513913753277
2021-11-04 02:00:27,lf,pair,56566.691383128906,28967.156441391628,-30.0,49040.87123242937,5014078.666382368,-30.0,45.13596099009778,-128.7353452461022,0.15944366892858397,20.413911270586745
2021-11-04 02:00:25,lf,pair,86039.66297889475,12880.219861128413,-30.0,19567.899636663526,4997991.729802105,-30.0,44.97257253099693,-129.0927540725595,0.1873282350234235,54.35232490802448
2021-11-04 02:01:37,hf,pair,82757.3190439925,12710.031569456944,-30.0,22850.243571565778,4997821.541510433,-30.0,44.97325813076395,-129.05120021952888,0.16103836792238632,24.034705134194944
2021-11-04 02:01:32,hf,pair,56792.88750671548,28723.995935096806,-30.0,48814.67510884279,5013835.505876073,-30.0,45.1336388547729,-128.73798843047214,0.1299195056812669,19.816144688622813
2021-11-04 02:00:55,hf,pair,83306.94094425207,15868.489503378943,-30.0,22300.621671306202,5000979.999444355,-30.0,45.0011624271233,-129.06112154790603,1.0260683253649854,108.57116952872705
2021-11-04 02:01:28,hf,pair,86023.03003227813,12749.048714766626,-30.0,19584.532583280146,4997860.558655743,-30.0,44.9714096444934,-129.09241954927086,0.1879911653222596,67.16707594381113
2021-11-04 02:01:01,hf,pair,75206.90193258936,19404.16962598632,-30.0,30400.66068296891,5004515.679566963,-30.0,45.03821667105904,-128.96220471909976,0.17840772729726104,37.53680391838063
2021-11-04 02:01:11,lf,pair,56618.092574445385,29038.304174528654,-30.0,48989.47004111289,5014149.814115505,-30.0,45.136565453713175,-128.73605978922842,0.16455510933636053,19.860688859758714
2021-11-04 02:01:13,lf,pair,37013.05001044731,22365.40278178172,-30.0,68594.51260511097,5007476.912722758,-30.0,45.08900696169551,-128.48214440174905,0.130942853336262,11.794905534631761
2021-11-04 02:01:42,lf,pair,74379.18797649509,26244.4334317619,-30.0,31228.374639063186,5011355.943372739,-30.0,45.10000580944029,-128.9581348346581,0.29501679745661596,29.449453594164172
2021-11-04 02:01:09,lf,pair,85884.5278757714,13001.188508593972,-30.0,19723.034739786875,4998112.698449571,-30.0,44.97376007413312,-129.09091284910102,0.17645297721692835,50.43939639998761
2021-11-04 02:01:16,lf,pair,82685.42752623899,12551.31775667776,-30.0,22922.135089319287,4997662.827697654,-30.0,44.97188558012882,-129.05014363843787,0.2072770057955899,43.79794118313604
2021-11-04 02:01:32,north,hf,64873.094421367125,20956.23546114474,-30.0,40734.46819419115,5006067.745402121,-30.0,45.05887860514135,-128.833108573711,0.2784985681869339,106.45683119194864
2021-11-04 02:01:55,south,hf,82932.14494883096,13443.020632252132,-30.0,22675.417666727313,4998554.530573228,-30.0,44.9797023352479,-129.05409794694395,0.12302331660235569,128.24604336471444
2021-11-04 02:02:12,hf,pair,86077.73363100525,11987.971863197825,-30.0,19529.828984553023,4997099.481804174,-30.0,44.964560272319616,-129.09238542639056,0.22389654372196938,47.54231372473495
2021-11-04 02:01:55,hf,pair,82782.60189265154,12583.107891015297,-30.0,22824.960722906733,4997694.617831992,-30.0,44.972104987178135,-129.05139913412367,0.16000683420733602,23.237881892793112
2021-11-04 02:02:30,hf,pair,89234.22854456448,13285.492976414022,-30.0,16373.334070993791,4998397.00291739,-30.0,44.97403554524844,-129.13342365042527,0.23232640255874965,68.40184506852222
2021-11-04 02:02:14,hf,pair,67879.96869899666,29174.115964007124,-30.0,37727.593916561615,5014285.625904984,-30.0,45.1305114892544,-128.87866992027222,0.3833130180536422,63.96546132297196
