id,utc,sensor,call_type,x,y,z,t0,rms,weighted_rms,unc_x,unc_y,unc_z,unc_t,ellipse_semi_major,ellipse_semi_minor,ellipse_rotation,ellipse_area,n_picks,n_iterations,x_utm,y_utm,z_utm,lon,lat,filename,horizontal_uncertainty,positional_quality,x_km,y_km,x_utm_km,y_utm_km,minutes,hours
0,2021-11-04 02:00:08.495464,hf,pair,37002.827525852044,22342.031562325054,-40.0,6.495463572865528,0.2235044666617848,0.12768859738194016,1.5633909601138447,4.145741363375201,0.0010772717766433272,0.0010772717766433272,10.295827238966156,3.4083068187050056,1.750870318711177,110.24269023964747,21888,20,86453.17247414796,811354.0315623251,-40.0,-126.74421494972172,7.324572531747907,association_2021-11-04_02:00:02.pkl,4.430729369546933,high,37.00282752585204,22.342031562325054,86.45317247414796,811.3540315623251,0.0735745,0.0012262416666666666
1,2021-11-04 02:00:51.223756,hf,pair,37011.288734751164,22360.111889422515,-40.0,49.223755623124376,0.16438633144441944,0.12547259407625172,1.7698712285627651,4.934536370686968,0.0012067312525589824,0.0012067312525589824,12.273338381302484,3.7447500611877094,1.7582571482753424,144.38943510482895,16957,20,86444.71126524883,811372.1118894225,-40.0,-126.74429280904617,7.324735094818913,association_2021-11-04_02:00:02.pkl,5.242336631629715,high,37.01128873475116,22.360111889422516,86.44471126524883,811.3721118894225,0.7857126999999999,0.013095211666666665
2,2021-11-04 02:00:34.614379,hf,pair,82715.87255881923,12452.297946295112,-40.0,32.614379369492106,0.24259600868576636,0.16622997768882933,3.6429682582171763,12.554530724397997,0.005116459445549299,0.005116459445549299,31.02414722767064,7.833801349109783,1.4284125942814254,763.5232738790221,10450,20,40740.12744118077,801464.2979462951,-40.0,-127.15656807147882,7.23171682977707,association_2021-11-04_02:00:02.pkl,13.072393026536158,high,82.71587255881923,12.452297946295111,40.74012744118077,801.4642979462951,0.50888975,0.008481495833333333
3,2021-11-04 02:00:14.753106,hf,pair,82757.48288317163,12635.69565328512,-40.0,12.753106063923568,0.3209786606926391,0.16990167160834982,4.1459722278301925,14.6443907097125,0.005898368993808817,0.005898368993808817,36.382234742093566,8.01494670533615,1.394479827557575,916.0936720342384,10248,20,40698.51711682837,801647.6956532851,-40.0,-127.15695915475601,7.233367994729154,association_2021-11-04_02:00:02.pkl,15.219962712590759,high,82.75748288317163,12.63569565328512,40.69851711682837,801.6476956532852,0.17786853333333333,0.0029644755555555554
4,2021-11-04 02:00:54.567811,hf,pair,82702.77778635712,12543.45150411839,-40.0,52.56781072188001,0.17407962691685444,0.14983721076937076,3.8160828231757145,13.430483719573134,0.0053906531353824505,0.0053906531353824505,33.26911151356082,7.819501326129509,1.4121270145828244,817.278610847893,8359,20,40753.222213642875,801555.4515041184,-40.0,-127.15645730298289,7.232540291274213,association_2021-11-04_02:00:02.pkl,13.962105179916664,high,82.70277778635713,12.543451504118389,40.75322221364288,801.5554515041184,0.84144695,0.014024115833333333
5,2021-11-04 02:00:04.080994,hf,pair,86091.7080202592,12906.858247748492,-40.0,2.0809942486430315,0.26004396469770663,0.1806609907460671,4.298903136492962,26.95622786357488,0.009965871715539943,0.009965871715539943,65.98769514924831,10.486986956630785,1.5840788301271893,2174.0201243034307,7544,20,37364.291979740796,801918.8582477485,-40.0,-127.18710378927686,7.235538028104337,association_2021-11-04_02:00:02.pkl,27.2968640838086,high,86.0917080202592,12.906858247748492,37.3642919797408,801.9188582477484,0.0,0.0
6,2021-11-04 02:00:46.718248,hf,pair,86038.72400986754,13014.619667671659,-40.0,44.718248148903825,0.25010180776405383,0.16173051393867094,4.343376796509208,27.695718005348706,0.009986424908854286,0.009986424908854286,67.82307909902975,10.43207001695882,1.6013832661757608,2222.7871035029275,6296,20,37417.27599013246,802026.6196676716,-40.0,-127.18663410429616,7.236514613288568,association_2021-11-04_02:00:02.pkl,28.03422404541012,high,86.03872400986754,13.01461966767166,37.41727599013246,802.0266196676716,0.7106209,0.011843681666666666
0,2021-11-04 02:00:30.328380,lf,pair,36965.96054106919,22411.524155983112,-40.0,28.3283804835406,0.19452381566360272,0.11661829839293782,1.4444754033689882,3.956838806998043,0.001009516358871914,0.001009516358871914,9.830612047932794,3.1090379108206028,1.7523386286241651,96.01883846593898,21789,20,86490.03945893081,811423.5241559831,-40.0,-126.74388688699467,7.325202576502948,association_2021-11-04_02:00:02.pkl,4.212253854589452,high,36.96596054106919,22.411524155983113,86.49003945893081,811.4235241559832,0.43745643333333334,0.007290940555555556
1,2021-11-04 02:00:25.464425,lf,pair,86048.52340182118,12877.508625970477,-40.0,23.46442480761203,0.39037086854140973,0.20280814842345388,4.400464478468578,27.841681714079694,0.010190111589241147,0.010190111589241147,68.15558141581218,10.73196511355811,1.5844477764736733,2297.8969670657157,8521,20,37407.47659817882,801889.5086259705,-40.0,-127.18671121173391,7.235276840515145,association_2021-11-04_02:00:02.pkl,28.18729019069381,high,86.04852340182117,12.877508625970476,37.407476598178825,801.8895086259705,0.3563905166666667,0.005939841944444445
0,2021-11-04 02:00:06.166012,north,hf,56696.854648373206,28478.091191300726,-40.0,4.166011818369337,0.12637725191879215,0.1069772519133346,4.087547770142143,12.785815173629471,0.0021105101738238216,0.0021105101738238216,32.47621995684139,4.9867699271365336,1.8444930197652092,508.78544480499716,6721,20,66759.1453516268,817490.0911913008,-40.0,-126.92273104798579,7.378429156039373,association_2021-11-04_02:00:02.pkl,13.423304974089191,high,56.696854648373204,28.478091191300727,66.7591453516268,817.4900911913007,0.0347503,0.0005791716666666666
