call_id,utc_time,time,dist,call_type,cable,snr
1,2021-11-03 22:09:47,5.246014149334185,36118.01429405693,LF,North,20.233690664228103
1,2021-11-03 22:09:47,5.638761423329403,36726.94957436676,LF,North,24.28961175674062
1,2021-11-03 22:09:49,7.187307817939125,39162.690695606085,LF,North,18.6891931114822
1,2021-11-03 22:09:49,7.961581015243985,40443.01615677035,LF,North,22.567752084721104
1,2021-11-03 22:09:50,8.679747459120959,41442.29456548392,LF,North,11.786885619962678
1,2021-11-03 22:09:51,9.824325229049883,43269.10040641341,LF,North,20.33489520301189
1,2021-11-03 22:09:52,10.093637645503748,43815.580786178645,LF,North,22.18555909734934
1,2021-11-03 22:09:49,7.082518313823753,26250.530334303094,LF,North,16.564025471111325
1,2021-11-03 22:09:49,7.576764524137398,25407.113568560162,LF,North,2.3837803284415213
1,2021-11-03 22:09:50,8.313471139510568,24407.98909221853,LF,North,10.977675901904725
1,2021-11-03 22:09:50,8.65851094671066,23901.93903277277,LF,North,10.192533614736677
1,2021-11-03 22:09:51,9.591050966170366,22591.39913523375,LF,North,4.984183893192513
1,2021-11-03 22:09:52,10.1225987772624,21916.6657226394,LF,North,6.513622233464517
